City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Malanje,AO,65.35,moderate rain,-9.5402,16.341,Hotel Ginga
28,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
33,Isiolo,KE,71.01,few clouds,0.3546,37.5822,Gaddisa Hotel
41,Castro,BR,70.83,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
51,Chuy,UY,70.11,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
55,Jiexiu,CN,65.59,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
68,Dehloran,IR,71.26,clear sky,32.6941,47.2679,کافه گیم استورم
77,Wanning,CN,67.5,broken clouds,18.8003,110.3967,Paradise Hotel
80,Dingle,PH,74.95,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
85,Venice,US,73.38,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
88,Nishihara,JP,71.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
91,Njeru,UG,70.07,overcast clouds,0.4186,33.1731,2 Friends Guesthouse and Restaurant
93,Dergaon,IN,70.32,moderate rain,26.7,93.9667,Villa Shivalay (Assam)
120,Sangmelima,CM,68.68,overcast clouds,2.9333,11.9833,gamestar hotel
121,Cam Ranh,VN,71.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
125,Marawi,PH,66.76,overcast clouds,7.9986,124.2928,Derogongan Residence
129,Bintulu,MY,73.81,light rain,3.1667,113.0333,900 Boutique INN
130,Mar Del Plata,AR,69.1,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
132,High Rock,BS,73.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
138,East London,ZA,65.16,light rain,-33.0153,27.9116,Tu Casa
141,Namibe,AO,71.19,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
145,Sao Filipe,CV,74.48,broken clouds,14.8961,-24.4956,Hotel Xaguate
