City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Meulaboh,ID,4.1363,96.1285,77.49,87,86,3.2,light rain
1,Yellowknife,CA,62.456,-114.3525,28.42,67,75,21.85,broken clouds
2,Bluff,NZ,-46.6,168.3333,56.66,76,51,21.32,broken clouds
3,Ushuaia,AR,-54.8,-68.3,53.26,58,20,0.0,few clouds
4,Port Hardy,CA,50.6996,-127.4199,39.38,81,100,10.36,light intensity shower rain
5,Malanje,AO,-9.5402,16.341,65.35,96,100,2.04,moderate rain
6,Qaanaaq,GL,77.484,-69.3632,0.64,75,93,3.47,overcast clouds
7,Yulara,AU,-25.2406,130.9889,57.04,38,0,5.75,clear sky
8,Ostrovnoy,RU,68.0531,39.5131,34.56,82,78,18.54,broken clouds
9,Atuona,PF,-9.8,-139.0333,79.32,80,13,22.08,few clouds
10,Severo-Kurilsk,RU,50.6789,156.125,29.1,72,100,4.56,overcast clouds
11,Busselton,AU,-33.65,115.3333,60.19,66,74,11.16,broken clouds
12,Mataura,NZ,-46.1927,168.8643,48.33,82,52,2.53,broken clouds
13,Katsuura,JP,35.1333,140.3,59.9,84,0,8.39,clear sky
14,Khatanga,RU,71.9667,102.5,-6.38,100,91,3.76,overcast clouds
15,Tazovskiy,RU,67.4667,78.7,-14.04,100,90,7.4,overcast clouds
16,Kavieng,PG,-2.5744,150.7967,80.69,78,86,4.7,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,38.88,96,100,5.48,overcast clouds
18,Yar-Sale,RU,66.8333,70.8333,8.1,95,100,6.42,overcast clouds
19,Vaini,TO,-21.2,-175.2,80.76,83,20,8.05,few clouds
20,Grindavik,IS,63.8424,-22.4338,37.87,87,75,21.85,broken clouds
21,Ponta Do Sol,PT,32.6667,-17.1,62.01,73,1,3.78,clear sky
22,Rikitea,PF,-23.1203,-134.9692,79.3,72,12,18.07,few clouds
23,Vao,NC,-22.6667,167.4833,77.43,84,65,20.22,broken clouds
24,Punta Arenas,CL,-53.15,-70.9167,53.71,62,40,12.66,scattered clouds
25,Sitka,US,57.0531,-135.33,40.89,75,40,5.75,scattered clouds
26,Katangli,RU,51.7102,143.2326,19.74,96,88,3.31,overcast clouds
27,Tuatapere,NZ,-46.1333,167.6833,50.25,78,92,3.74,overcast clouds
28,Saldanha,ZA,-33.0117,17.9442,68.05,50,0,10.76,clear sky
29,Jamestown,US,42.097,-79.2353,40.59,46,100,14.97,overcast clouds
30,Faanui,PF,-16.4833,-151.75,82.6,74,97,21.41,overcast clouds
31,Hithadhoo,MV,-0.6,73.0833,82.92,73,56,9.46,broken clouds
32,Hobart,AU,-42.8794,147.3294,61.27,85,75,3.44,broken clouds
33,Isiolo,KE,0.3546,37.5822,71.01,64,11,5.97,few clouds
34,Port Hawkesbury,CA,45.6169,-61.3485,51.91,84,100,6.91,overcast clouds
35,Hasaki,JP,35.7333,140.8333,48.6,82,0,7.54,clear sky
36,Leopold,AU,-38.1833,144.4667,62.65,89,19,10.36,few clouds
37,Puerto Ayora,EC,-0.7393,-90.3518,85.96,72,92,7.25,light rain
38,Luena,AO,-11.7833,19.9167,61.88,98,94,3.67,light rain
39,Chernyshevskiy,RU,63.0128,112.4714,3.74,100,100,3.15,overcast clouds
40,Hilo,US,19.7297,-155.09,77.11,85,21,4.0,few clouds
41,Castro,BR,-24.7911,-50.0119,70.83,74,88,2.93,overcast clouds
42,Coahuayana,MX,18.7333,-103.6833,90.01,40,39,8.41,scattered clouds
43,Avarua,CK,-21.2078,-159.775,84.25,79,75,8.05,broken clouds
44,Port-Gentil,GA,-0.7193,8.7815,79.21,79,99,9.35,overcast clouds
45,Bushehr,IR,28.9684,50.8385,76.51,42,1,2.77,clear sky
46,Cabedelo,BR,-6.9811,-34.8339,83.07,81,82,12.88,broken clouds
47,Hermanus,ZA,-34.4187,19.2345,62.8,82,5,20.18,clear sky
48,Albany,US,42.6001,-73.9662,50.34,69,97,1.01,overcast clouds
49,Voh,NC,-20.9667,164.7,78.17,85,81,3.8,broken clouds
50,China,MX,25.7,-99.2333,91.09,21,16,23.67,few clouds
51,Chuy,UY,-33.6971,-53.4616,70.11,74,34,10.56,scattered clouds
52,Lebu,CL,-37.6167,-73.65,54.77,83,99,0.47,overcast clouds
53,Elkhart,US,41.5823,-85.8344,41.49,65,100,14.97,overcast clouds
54,Ahipara,NZ,-35.1667,173.1667,63.57,76,100,4.12,overcast clouds
55,Jiexiu,CN,37.0244,111.9125,65.59,22,0,6.42,clear sky
56,Nipawin,CA,53.3668,-104.0009,41.04,75,0,16.11,clear sky
57,Grand Gaube,MU,-20.0064,57.6608,79.2,84,23,1.01,few clouds
58,Piopio,NZ,-38.4667,175.0167,57.74,74,10,0.56,clear sky
59,Dryden,CA,49.7833,-92.7503,43.09,14,0,4.61,clear sky
60,Hambantota,LK,6.1241,81.1185,78.03,83,91,9.84,overcast clouds
61,Norman Wells,CA,65.282,-126.8329,14.04,62,75,18.41,light snow
62,Isangel,VU,-19.55,169.2667,82.8,77,31,10.65,scattered clouds
63,Myanaung,MM,18.2833,95.3167,80.38,57,2,0.72,clear sky
64,Cape Town,ZA,-33.9258,18.4232,64.27,71,0,14.0,clear sky
65,Acajutla,SV,13.5928,-89.8275,91.89,46,95,9.69,overcast clouds
66,Lompoc,US,34.6391,-120.4579,75.85,62,0,25.99,haze
67,Barrow,US,71.2906,-156.7887,-10.89,87,14,7.16,few clouds
68,Dehloran,IR,32.6941,47.2679,71.26,29,0,9.06,clear sky
69,Joshimath,IN,30.5667,79.5667,54.3,50,2,8.34,clear sky
70,Kapaa,US,22.0752,-159.319,79.2,78,40,11.5,scattered clouds
71,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,85,87,10.78,overcast clouds
72,Ridgecrest,US,35.6225,-117.6709,87.69,13,2,17.0,clear sky
73,Leh,IN,34.1667,77.5833,28.26,75,25,6.51,scattered clouds
74,Santiago Del Estero,AR,-27.7951,-64.2615,79.61,59,93,12.12,overcast clouds
75,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,20,5.75,thunderstorm
76,Kahului,US,20.8947,-156.47,80.96,82,98,13.0,overcast clouds
77,Wanning,CN,18.8003,110.3967,67.5,89,72,4.41,broken clouds
78,Batagay-Alyta,RU,67.8006,130.4114,-8.5,98,50,5.03,scattered clouds
79,Siemiatycze,PL,52.4272,22.8623,35.1,71,14,8.63,few clouds
80,Dingle,PH,10.9995,122.6711,74.95,90,100,1.14,moderate rain
81,Luanda,AO,-8.8368,13.2343,78.8,89,40,4.61,scattered clouds
82,Chissamba,AO,-12.1667,17.3333,63.23,92,66,2.48,light rain
83,Trabzon,TR,40.9167,39.8333,46.49,87,0,0.0,clear sky
84,Taywarah,AF,33.35,64.4167,52.93,22,96,2.21,overcast clouds
85,Venice,US,27.0998,-82.4543,73.38,54,100,18.41,haze
86,La Colmena,PY,-25.8833,-56.8167,80.69,69,35,1.72,scattered clouds
87,Killybegs,IE,54.6333,-8.45,43.0,68,98,6.67,overcast clouds
88,Nishihara,JP,26.1842,127.7558,71.65,94,75,10.36,broken clouds
89,Thompson,CA,55.7435,-97.8558,37.56,56,100,13.8,overcast clouds
90,Colac,AU,-38.3333,143.5833,61.83,89,44,6.02,scattered clouds
91,Njeru,UG,0.4186,33.1731,70.07,76,92,2.51,overcast clouds
92,Tete,MZ,-16.1564,33.5867,75.29,83,40,5.01,scattered clouds
93,Dergaon,IN,26.7,93.9667,70.32,79,54,2.04,moderate rain
94,Avera,US,33.194,-82.5271,54.55,40,100,18.88,overcast clouds
95,New Norfolk,AU,-42.7826,147.0587,60.93,77,84,3.09,broken clouds
96,Cherskiy,RU,68.75,161.3,-12.55,98,79,1.61,broken clouds
97,Gizo,SB,-8.103,156.8419,82.04,73,72,6.08,light rain
98,Buraydah,SA,26.326,43.975,81.05,13,0,13.51,clear sky
99,Airai,TL,-8.9266,125.4092,58.37,66,99,2.17,overcast clouds
100,Puerto Madero,MX,14.7208,-92.4215,89.8,55,20,9.22,few clouds
101,Bezhanitsy,RU,56.9767,29.8907,37.31,89,100,7.23,overcast clouds
102,Lagoa,PT,39.05,-27.9833,55.33,71,13,37.71,few clouds
103,Soe,ID,-9.8607,124.284,64.42,74,100,3.47,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,57.6,77,40,27.63,scattered clouds
105,Vestmannaeyjar,IS,63.4427,-20.2734,39.31,66,100,27.09,overcast clouds
106,Bartica,GY,6.4,-58.6167,84.52,91,99,4.79,overcast clouds
107,Constitucion,CL,-35.3333,-72.4167,60.08,72,7,6.96,clear sky
108,Ilulissat,GL,69.2167,-51.1,10.09,89,100,4.94,overcast clouds
109,Hami,CN,42.8,93.45,59.16,13,98,13.73,overcast clouds
110,Coruripe,BR,-10.1256,-36.1756,79.34,76,43,7.81,scattered clouds
111,Polunochnoye,RU,60.8697,60.4153,32.61,99,100,5.91,overcast clouds
112,Mnogovershinnyy,RU,53.9353,139.9242,12.58,86,78,0.72,broken clouds
113,Bredasdorp,ZA,-34.5322,20.0403,62.1,86,37,18.23,scattered clouds
114,Tilichiki,RU,60.4667,166.1,19.27,84,77,2.8,broken clouds
115,Abu Samrah,SY,35.3029,37.1841,57.72,67,22,5.79,few clouds
116,Leticia,CO,-4.2153,-69.9406,89.65,66,75,4.61,broken clouds
117,Bethel,US,41.3712,-73.414,54.9,70,56,11.01,broken clouds
118,Pevek,RU,69.7008,170.3133,-18.49,96,41,2.64,scattered clouds
